#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
69,Red Elderberry,Sambucus racemosa,Berries,,"Shrub grows as tall as a one-story house. berries are sour, clustered 100+",,The raw berries are mildly toxic.,,
70,Red Huckleberry,Vaccinium parvifolium,Berries,,"Shrub grows as high as a house. berries are tart, unclustered",,,,
71,Roseroot,Rhodiola spp.,"young leaves and shoots, rhizome",older plants may be bitter; rhizome can be boiled and eaten,"Dry, rocky areas in subalpine and alpine regions",Western roseroot (Rhodiola integrifolia),,,
72,Salal,Gaultheria shallon,Berries,,"Shrub grows waist high, forms thickets, berries are bland, clustered 5-15",,,American Pokeweed,"American pokeweed (Phytolacca americana) produces poisonous dark blue berries that are superficially similar-looking but differ in that they are not five-part. In addition, the cluster has a corn-on-the-cob appearance rather than being row-like"
73,Salmonberry,Rubus spectabilis,Berries,,"Stems are prickly at the base, berries are bland, clustered 1-3",,,,
74,Salsify,Tragopogon spp.,"roots, young leaves, young stalks, root crowns",roots can be dried and ground; roots can be roasted as coffee substitute; young stalks and root crowns can be simmered,"found in dry, disturbed areas, also called: Goatsbeard , and Oyster Plant","Common salsify (Tragopogon porrifolius), Yellow salsify (Tragopogon dubius), Meadow salsify (Tragopogon pratensis)",,,
75,Saskatoon Berry,Amelanchier alnifolia,Berries,,"Tree grows as high as a one story house, berries are juicy, pleasant, clustered 3-20",,,,
76,Sea Milkwort,Glaux maritima,"rhizome, young leaves",rhizome is edible after prolonged boiling; young leaves can be used as a flavouring agent,"Found in inland marshes, wet meadowlands, and coastal tidelines",,May cause sleepiness and/or nausea if eaten in quantity,,
77,Self Heal,Prunella vulgaris,leaves,leaves are suitable as a potherb; leaves have a slightly bitter taste; leaves taste best when cooked,"Grows on lawns, fields and beside roads",,,,
78,Sheep Sorrel,Rumex acetosella,leaves,raw leaves may have bitter taste; leaves are best when boiled in several changes of water,,,"Eat only moderate quantities of the raw plant due to oxalates, which block nutrient absorption",,
79,Shepherd's-purse,Capsella bursa-pastoris,"all parts, pods, seeds, roots",older plants can be tenderized by adding pinch of baking soda to cooking water; pods and seeds are edible and taste peppery; seeds can be parched and ground to flour; roots can be eaten fresh or dried; burning the plant results in ash that can be used as salt substitute and/or tenderizer,"Wide range as a weed, especially in disturbed or cultivated areas",,The seeds may blister skin,,
80,Siberian Miner's Lettuce,Claytonia sibirica,Leaves,leaves are edible raw; leaves contain vitamin C,Found in wet areas by streams and ponds and moist coniferous woods,,,,
81,Silver Orache,Atriplex argentea,Leaves,leaves are suitable as a potherb in moderate amounts.,"Grows in open areas. deserts, and ground with high salt content, including the seaside.",,"Seeds contain saponins and should not be consumed in extreme quantities.\nwarning: plant tends to concentrate harmful nitrates in their leaves, avoid harvesting plants which grow in artificial fertilizer.",,
