#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
1,Mountain Dandelion,Agoseris spp.,"Flower, Sap, Stem, Leaves",Dried sap from stem and leaves can be chewed or eaten as gum. Flower and leaves are edible raw; dried sap from stem and leaves can be chewed or eaten as gum,"Found on grassy, open foothills, montane slopes, and alpine/subalpine areas, Edible look-alikes in the Pacific Northwest are dandelion and salsify",Orange agoseris (Agoseris aurantiaca); Short-beaked agoseris (Agoseris glauca),,,
2,Arrow-leaved balsamroot,Balsamorhiza sagittata,Whole plant,"Peeled roots, young stems and leaf stalks are best; roots can be dried for storage.",Found on stony slopes in foothills.,,Do not confuse with poisonous Arnica (Arnica spp.).,Arnica,
3,Arrowhead,Sagittaria spp.,"Rhizome, underwater tuber, tubers, stems","Tubers can be cooked, sliced, dried for storage, later boiled.","Found on calm water in plains, foothills, and montane regions",,Some species can cause skin reactions.,,
4,Asparagus,Asparagus officinalis,Young shoots,Raw consumption; cooking,"Found on roadways, disturbed areas and fields",,Handling young plants can cause contact dermatitis,,
5,Bearberry,Arctostaphylos uva-ursi,Berries,,"Look-alikes in British Columbia, The similar-looking bearberry cotoneaster (Cotoneaster dammeri) is a dense, creeping shrub that produces inedible berries. It differs in that it grows over a foot tall and the berries occur along the trailing stems rather than at the branch tips. The less common red bearberry (Arctostaphylos rubra) and alpine bearberry (Arctostaphylos alpina)produce edible red and reddish black berries, respectively. They both differ in that the leaves are thinner and turn red in the fall. Berries are dry/mealy, clustered 3-10",,"The berries may cause nausea, constipation, and, eventually, liver problems. They should not be eaten by children or women who are pregnant or breast-feeding.",Bearberry Cotoneaster,Creeping shrub is about half a foot high
6,Beargrass,Xerophyllum tenax,Rhizome,Rhizomes are edible when roasted or boiled.,Found on dry slopes/ridges or forest clearings,,,,
7,Bedstraw,Cleavers,"Steam, Leaves, Flowers",Raw consumption; cooking,Found near low-growing vegetation and disturbed soil sites,Cleavers (Galium aparine); Northern bedstraw (Galium boreale); Sweet-scented bedstraw (Galium triflorum),Acts as a mild laxative when eaten in quantity,,
8,Bedstraw Cleavers,Galium spp.,"Steam, Leaves, Flowers","Plant is best cooked, but Stem, leaves, and flowers can be eaten raw..",Found on disturbed soil sites.,"Cleavers (Galium aparine), Northern bedstraw (Galium boreale), Sweet-scented bedstraw (Galium triflorum)",Acts as a mild laxative in quantity.,,
9,Bistort,Polygonum spp.,"Leaves, Shoots, Rhizome","Rhizome can be steeped in water, roasted/dried, and ground into flour. rhizome is suitable for use as a potherb. seeds are edible, either roasted whole or ground into meal/flour. small bulblets can be eaten raw.","The plant is rich in vitamin C. Grows in moist, open areas on montane, alpine, and subalpine slopes.",Varieties in the Pacific Northwest include American bistort (Bistorta bistortoides) and Alpine bistort (Bistorta vivipara).,Eating raw plants in large quantities can cause diarrhea.,,
10,Bittercress,Cardamine spp.,Whole plant,Bittercress is best when cooked but is edible raw. ,Bittercress has a peppery taste. Grows in moist woods and meadows in montane and subalpine regions.,"Varieties in the Pacific Northwest include Brewer's bittercress (Cardamine breweri), Heart-leaved bittercress (Cardamine cordifolia) and Pennsylvania bittercress (Cardamine pensylvanica).",,,
11,Bitterroot,Lewisia rediviva,Roots,"It is prepared by removing the dark outer layer and the orange-red core. The dried root can be reconstituted by soaking and boiling, which causes them to expand in volume by five. reconstituted roots have a jelly-like consistency and bitter taste.  Roots can be dried for storage. The root is best when gathered just before the flower blooms. The root is edible when cooked, has very bitter taste.","Grows in open forests and dry, open grassland areas in foothills and montane regions.",,"Dried bitterroot expands in the stomach, and therefore should not be over-consumed.",,
12,Bracken,Pteridium aquilinum,"Tips (Fiddleheads), Rhizomes","The young, tightly coiled tender tips of plant are called 'fiddleheads'. the spring fiddleheads of all varieties of north temperate ferns are edible. remove hair/wool from fiddleheads, soak in salt water to remove bitterness. fiddleheads are best when boiled for half an hour in two changes of water. fiddleheads can be dried for storage. rhizomes can be roasted/pit-steamed, peeled, and pounded to remove whitish edible part from fibers, or chewed to suck out starch. dried rhizomes can be ground into flour. Fiddleheads can be dried for storage.","Grows in wide range of areas, including foothills and montane region.",,"Avoid long term use, has carcinogenic properties. Avoid mature bracken, which destroys vitamin B and can cause a deadly blood condition.",,
13,Bugleweed,Lycopus spp.,Roots,"Roots are edible raw. roots are best gathered in spring. Roots were traditionally steamed or boiled. roots have a mild, sweet taste. Roots can be dried for storage.","Grows by lakes and streams, in marshes and in peat bogs.",Varieties in the Pacific Northwest include Northern bugleweed (Lycopus uniflorus) and American bugleweed (Lycopus americanus).,,,
14,Bulrush,Schoenoplectus spp.,"Shoots, lower stalk, rhizomes, seeds, sap, stem","shoots and lower stalk are edible raw. growing tips of rhizome are edible raw. dried rhizome can be crushed to remove fibers, ground into flour. fresh rhizomes can be boiled into gruel. The gruel can either be dried and ground into flour or used wet in pancakes/breads. young rhizomes can be crushed and boiled to make sweet syrup. pollen can be pressed into cakes and baked or mixed with other flours. seeds are edible raw or parched. seeds can be ground into meal. sweet dried sap that exudes from the stem can be rolled into balls for storage.",Grows in shallow calm water.,Hard-stemmed bullrush (Schoenoplectus acutus) and Soft-stemmed bullrush (Schoenoplectus tabernaemontani).,,,
15,Great Burdock,Arctium spp.,"Roots, Leaves",Roots can be cooked in soup or stir-fry or dried for storage.Young leaves are edible raw. older leaves are best when boiled in 1-2 changes of water with pinch of baking soda. roots of first year plants can be cooked in a soup or stir-fry. roots can be mashed and fried as patties. roots can be dried for storage. roots can be roasted/ground as coffee substitute. roots are best when shredded/sliced and soaked in water for 5-10 minutes to reduce harshness. white pith of young flower stalks is edible raw.,,varieties in the Pacific Northwest include Common burdock (Arctium minus) and Woolly burdock (Arctium tomentosum).,"Do not confuse with Cocklebur (Xanthium strumarium), who's leaves are poisonous if not thoroughly cooked. Cocklbur has rough rather than velvety leaves and has more solid burs.",,
16,Lesser Burdock,Arctium spp.,"Roots, Leaves",Roots can be cooked in soup or stir-fry or dried for storage.Young leaves are edible raw. older leaves are best when boiled in 1-2 changes of water with pinch of baking soda. roots of first year plants can be cooked in a soup or stir-fry. roots can be mashed and fried as patties. roots can be dried for storage. roots can be roasted/ground as coffee substitute. roots are best when shredded/sliced and soaked in water for 5-10 minutes to reduce harshness. white pith of young flower stalks is edible raw.,,varieties in the Pacific Northwest include Common burdock (Arctium minus) and Woolly burdock (Arctium tomentosum).,"Do not confuse with Cocklebur (Xanthium strumarium), who's leaves are poisonous if not thoroughly cooked. Cocklbur has rough rather than velvety leaves and has more solid burs.",,
17,Camas,Blue Camas,Bulbs,"bulbs are edible raw. bulbs can be roasted or boiled, but are best when slow cooked and dried.",Grows in moist plains and foothill regions.,Varieties in the Pacific Northwest include Great camas (Camassia leichtlinii) and Common camas (Camassia quamash).,"Do not confuse bulbs with those of the poisonous Death Camases, such as Mountain Death-Camas (Zigadenus elegans) and Meadow Death-Camas (Zigadenus venenosus), which grow in similar areas and have similar looking bulbs, but have white flowers.",Death Camas,Camases is identified by its bright blue to deep purple flowers with six petals.
18,Cascade Oregon Grape,Berberis nervosa,Berries,,"The shrub grows 1-2 ft high, berries are sour, clustered in dozens",Look-alikes in British Columbia\nVirginia creeper (Parthenocissus quinquefolia) is a creeping vine that produces similar-looking but poisonous berries. It differs in that the leaves are palmate rather than Holly-like. The similar-looking creeping Oregon grape (Berberis repens) produces edible blue berries. It differs in that it grows under 30 cm high and has 3-7 leaflets per leaf.,The berries can be toxic if eaten in excess.,,
19,Catnip,Nepeta cataria,Leaves,young leaves are edible raw. older leaves are suitable as a seasoning agent.,Grows in dry and disturbed sites.,,,,
20,Cattail,Typha spp.,"Shoots, Pollen, Flower, Rhizome, Roots, Seeds","Tender, white inner part of shoots/plants is edible raw.,cattail pollen is bright yellow and can be gathered by shaking a pollen-laden spike into a bag, which yelds about one tablespoon of powder. pollen can be used as flour, suitable for pancakes, etc. pollen is available to gather before the plant develops its long, brown cylinder resembling a hotdog on a stick. green flower spikes can be cooked and eaten like corn on cob. starchy white core of rhizome can be eaten raw. white core can be boiled, baked, or dried and ground into flour, or boiled into syrup. roots can be peeled and crushed under water, the fibers strained out and the starch washed in several changes of water. fluff from the brown-cylinder can be burned to separate and parch the seeds, which are edible.","Look for cattails growing on the shores of lakes and ponds, in flooded areas and in ditches.",varieties in the Pacific Northwest include Common cattail (Typha latifolia) and Narrow-leaved cattail (Typha angustifolia).,Do not confuse young cattail shoots with members of the iris family such as Western blue flag (Iris missouriensis). Mature plants are different enough to avoid confusion.,"Yellow flag iris
","There is no purple coloring at the base of the shoots. The leaves do not fan out from the base. Leaves are D-shaped, meaning they are flat on one side and rounded on the other. Stems are round and contain a honeycomb-like internal structure. Features thick, brown, cigar-shaped spikes"
21,Chickweed,Stellaria media,"Leaves, Seeds",young leaves are edible raw. leaves are safer and better tasting after cooking. cooked leaves have a taste similar to spinach. seeds are edible. young leaves are edible raw. leaves are safer and better tasting after cooking. leaves contain vitamins A and C. cooked leaves have a taste similar to spinach. seeds are edible.,Grows in lawns and disturbed areas at low and montane regions.,,Eating excessive amounts can cause diarrhea and/or vomiting. warning: plant is not suitable for pregnant women.,,Stem has a single line of fine hairs running between each stem node.
22,Chicory,Cichorium intybus,"Leaves, Flowers, Roots","leaves can be eaten raw. leaves are best when young and/or growing in areas protected from direct sunlight. older leaves are best when cooked in several changes of water. young plant, including flower heads can be cooked. roots can be eaten raw when young. roots can be split, dried and roasted to make coffee substitute.","Look for chicory on disturbed ground, ranging from plains and foothills to montane regionsL",,Excessive/prolonged use may damage retinas and cause sluggish digestion.,,
23,Chufa,Cyperus esculentus,Tubers. Leaf stems,tubers are edible raw. tubers are best when soaked in water and dried. dried tubers can be ground into a flour. leaf stems are edible raw.,"Grows in sandy, damp soils.",,none,,
24,Clover,Trifolium spp.,All above ground parts,"above-ground parts can be eaten raw. best when cooked or dipped in saltwater to counteract bloating. flowerheads can be eaten raw, dried or cooked. flowerheads and seedheads can be ground into flour. sprouts have the best taste. creeping stems and roots can be cooked.","Grows in a wide range of terrain, look in disturbed soil areas.","Red clover (Trifolium pratense), Alsike clover (Trifolium hybridum), White clover (Trifolium repens) and Springbank clover (Trifolium wormskioldii)","Difficult to digest, can cause bloating. warning: red clover in autumn should be avoided or not be eaten in large quantities due to alkaloids.",,
25,Cocklebur,Xanthium strumarium,"Leaves, Seeds",young leaves are edible when thoroughly boiled. leaves should be cooked in at least one change of water. seeds are edible raw. seeds can be ground into a flour.,"Grows in low areas, roadsides, and disturbed ground.",,Uncooked leaves are poisonous.,,
26,Coltsfoot,Petasites spp.,"Stems, Flowers, Leaves","young stems with flowers can be roasted, boiled or stir-fried.\nleaves can be cooked like spinach.\nleaves can be rolled into tight balls, dried, and burned to ash as salt substitute.","Grows in moist open plains, foothill and montane regions.","Arrow-leaved coltsfoot (Petasites sagittatus), Palmate coltsfoot (Petasites frigidus var palmatus) and Sweet coltsfoot (Petasites frigidus var frigidus).","Should not be eaten in large quantity, due to alkaloids.May cause miscarriage in pregnant women if eaten in quantity.",,
27,Common Orache,Atriplex patula,Leaves,"leaves are edible raw., leaves are suitable as a potherb in moderate amounts.","Grows in open disturbed areas, deserts, and ground with high salt content, including the seaside.",,"Seeds contain saponins and should not be consumed in extreme quantities.Plant tends to concentrate harmful nitrates in their leaves, avoid harvesting plants which grow in artificial fertilizer.",,
28,Common Sweet Clover,Melilotus officinalis,"Leaves, Seeds",young leaves gathered before flowering can be eaten raw.seeds and flowers can be used as flavouring.,Grows in disturbed sites.,,"Do not ingest moldy plants due to the presence of dicoumarol, which reduces the ability of blood to coagulate.",,
29,Cow Parsnip,Heracleum maximum,"Seeds, Unripe blossoms, and leaves.","Cow parsnip is an edible plant. But, unlike other common edibles like nettles or lambs quarters, it has a strong flavor that some people won't like. For the best result, it is suggest you cook with cow parsnip's green parts as you would an herb",,,"
The plant is confusing as it's edible, but also potentially dangerous. Cow parsnip is demonized because the above-ground portion of the plant contains compounds called furanocoumarins that can cause skin irritation.

If you get the sap of the plant on your skin and have it exposed to sunlight, it will cause photodermatitis, or a rash. The severity of the rash can vary from person to person, but it isn't pleasant",Giant Hogweed,Leaves: Shaped like maple leaves; covered in soft hairs. Stems are green with fuzzy hairs and ridges. Rounded white flowers
30,Cow-lily,Nuphar spp.,"Seeds, Rhizome","seeds are edible after drying, popping, or frying, and can subsequently be ground to flour. rhizome is edible after prolonged boiling with several changes of water. seeds can be taken from dried capsules. rhizome can be roasted or boiled, then peeled and either eaten or thinly sliced for drying and then either stored or ground into flour.","Grows in shallow, calm water in plains, montane, and subalpine regions.",Yellow cow-lily (Nuphar lutea) and Western cow-lily (Nuphar polysepala),"Eat in moderation, large amounts may be poisonous.",,
31,Dandelion,Taraxacum officinale,Whole plant,"young leaves or those growing where there is less/no sunlight are the least bitter. older leaves are best when boiled in 2 changes of water and/or with midveins removed. roots are best when collected in spring/autumn, peeled, sliced and cooked in 2 changes of water with pinch of baking soda. roots can be roasted as coffee substitute. unopened flower buds can be eaten raw or used in cooking. seeds with the parachute removed can be eaten or ground into flower.","Grows in a wide range of terrain, look for dandelion in disturbed/cultivated soil areas.",,"A serving of dandelion greens contains the same amount of calcium as half a cup of milk. is a good source of potassium, vitamin A, and vitamin C.",,
32,Devils Club,Oplopanax horridus,"Stems, Roots",young fleshy stems are edible when cooked. roots can be cooked and eaten. berries are not edible.,"Grows in moist areas that are shaded from the sun, in both foothill and mountain regions.",,Plant spines can cause infections or allergic reactions.,,
33,Dock,Rumex spp.,"Leaves, Seeds","young leaves are edible raw, but sour. leaves are best when boiled in several changes of water. fruit can be winnowed to separate outer hull for collecting seeds. seeds can be boiled to mush, or ground into flour. seeds can be leeched in cold water before using as food.","Grows in moist areas and disturbed sites in the plains, foothills, and montane regions.","varieties in the Pacific Northwest include Curled dock (Rumex crispus), Western dock (Rumex occidentalis) and Willow dock (Rumex triangulivalvis).","Raw plant is toxic in large quantity due to oxalates, which interferes with nutrient absorption.",,
34,Elephanthead Lousewort,Pedicularis groenlandica,Leaves,leaves were traditionally cooked. leaves in moderate amounts are suitable as a potherb.,"Grows in low wet areas, meadows, and fields.",,Plants are poisonous if eaten in large quantity.,,
35,False Lily-of-the-Valley,Maianthemum dilatatum,Berries,,"Plant grows up to a foot high, berries are poor tasting, clustered 10+",Look-alikes in British Columbia\nSee also Canada mayflower.,The untreated berries are toxic.,,
36,False Solomon's Seal,Maianthemum racemosum,"Berries, Shoots, Rhizome",,"Grows in thickets, forests, and moist open areas. berries are bittersweet, clustered 50+ berry is edible. young shoots and green parts of young plants are edible, and best when cooked. rhizome is edible when cooked. berry transitions from green to mottled/dark red. berry was traditionally stored in cooled grease. berry is high in vitamin C.",varieties in the Pacific Northwest include False solomon's-seal (Maianthemum racemosum) and Star-flowered false solomon's-seal (Maianthemum stellatum).,,Red Baneberry,"Look-alikes in British Columbia The poisonous red baneberry (Actaea rubra) is superficially similar in appearance. It differs in that the stem is branched, the leaves are three-part, and the berries are clustered in racemes that may not be terminal."
37,Fireweed,Epilobium spp.,"Shoots, Leaves, Flowers, Flower bud, Stem",shoots are edible raw. young leaves are edible raw. flowers are edible raw. flower bud clusters can be cooked as vegetable. stem pith can be added to soups as thickener.,"Grows in open, disturbed areas in foothill, montane, alpine and subalpine regions.",varieties in the Pacific Northwest include Common fireweed (Epilobium angustifolium) and Dwarf fireweed (Epilobium latifolium).,May act as a laxative if eaten in quantity.,,
38,Fleabane,Erigeron spp.,Whole plant (young),young plants are suitable as a potherb. young plants are edible when boiled.,"Grows in fields, disturbed areas, open woods, thickets and roadsides.",varieties in the Pacific Northwest include Eastern daisy fleabane (Erigeron annuus) and Philadelphia fleabane (Erigeron philadelphicus).,May cause miscarriages and should not be consumed by pregnant women. warning: may cause dermatitis.,,
39,Fragrant Water-lily,Nymphaea odorata,"Flowers, Flowerbuds, Seeds, Rhizome",flowerbuds can be cooked. leaves are edible raw.|ripe seeds are edible raw.|rhizome can be boiled or roasted. flowers are edible raw.,"Grows in lakes, ponds and slow moving water in low and montane areas.",,,,
40,Garden Orache,Atriplex hortensis,Leaves,leaves are edible raw. leaves are suitable as a potherb. leaves can be boiled or steamed and treated similar to spinach.,"Grows in open areas. deserts, and ground with high salt content, including the seaside.",,"Seeds contain saponins and should not be consumed in extreme quantities. warning: plant tends to concentrate harmful nitrates in their leaves, avoid harvesting plants which grow in artificial fertilizer.",,
41,Goldenrod,Solidago spp.,"Flowers, Seeds",plants can be cooked. flowers are edible raw. seeds are edible raw.,"Grows in open plains, foothills, and montane regions.","varieties in the Pacific Northwest include Canada goldenrod (Solidago canadensis), Missouri goldenrod (Solidago missouriensis) and Northern goldenrod (Solidago multiradiata).",,,
42,Ground Ivy,Glechoma hederacea,Leaves,young leaves are edible raw. leaves are suitable as a flavouring agent. leaves are suitable in small to moderate amounts as a potherb.,"Grows in thickets, disturbed sites and open woods.",,May be toxic when consumed in large quantities.,,
43,Groundcone,Boschniakia spp.,Stem base,potato-like stembase is edible raw.,"Grows in shaded coastal forests, at the base of alders, salal or cranberry bushes.",varieties in the Pacific Northwest include Vancouver groundcone (Boschniakia hookeri) and Northern groundcone (Boschniakia rossica).,,,
44,High Mallow,Malva sylvestris,"Leaves, Shoots, Seeds, Flowers, Flower buds, Fruit","leaves are edible raw. young leaves are more tender and less bitter than older leaves. young shoots are edible raw. leaves are suitable as a soup thickener. seeds are edible raw. seeds have a palatable, nut-like flavour. flower buds and flowers are edible. fruits are edible.","Grows in meadows, roadsides, disturbed sites and gardens.",,,,
45,Indian Pipe,Monotropa uniflora,Whole plant,raw plant has a bland taste. cooked plant has a taste similar to asparagus. plant is suitable for eating in small to moderate amounts.,"Grows in moist, thick forests in low and montage regions.",,Plant contains glycosides and may be poisonous if eaten in quantity.,,
46,Jerusalem Artichoke,Helianthus tuberosus,Tuber,"tuber is best when cooked, and similar to a potato. tuber has high nutritional value.",Grows in moist soil and thickets.,,,,
